ASIN,title,price,rating,review_count
B07YLQZXKY,EVanlak DispalyPort Headless Ghost Display Emulator for PC 4K DP Dummy Plug (fit Headless 1080@60Hz-3840x2160@17hz)-3Pack,16.99,5.0,7
B085NBFXFT,"EKWB EK-Quantum Magnitude CPU Water Block, AMD CPU (AM4), Full Nickel",265.95,1.0,1
B07SXMZLP9,"AMD Ryzen 9 3900X 12-core, 24-thread unlocked desktop processor with Wraith Prism LED Cooler",422.68,4.9,2090
B07HHLX1R8,Intel Core i5-9600K Desktop Processor 6 Cores up to 4.6 GHz Turbo unlocked LGA1151 300 Series 95W,0.0,4.6,4431
B07B428M7F,AMD Ryzen 7 2700X Processor with Wraith Prism LED Cooler - YD270XBGAFBOX,349.0,4.8,5869
B07SXMZLPJ,"AMD Ryzen 7 3800X 8-Core, 16-Thread Unlocked Desktop Processor with Wraith Prism LED Cooler",319.99,4.7,1463
B07SQBFN2D,"AMD Ryzen 5 3600X 6-Core, 12-Thread Unlocked Desktop Processor with Wraith Spire Cooler",219.98,4.7,2062
B07S8DWXT3,Intel Core i7-9700F Desktop Processor 8 Core Up to 4.7 GHz Without Processor Graphics LGA1151 300 Series 65W (BX80684I79700F),299.99,4.8,51
B07SXNDKNM,"AMD Ryzen 5 3400G 4-core, 8-Thread Unlocked Desktop Processor with Radeon RX Graphics",149.99,4.7,826
B012M8LXQW,"Intel 4512 Core i7 6700K 4.00 GHz Unlocked Quad Core Sky Lake Desktop Processor, Socket LGA 1151 [BX80662I76700K]",296.0,4.6,1712
B0759FGJ3Q,Intel Core i5-8400 Desktop Processor 6 Cores up to 4.0 GHz  LGA 1151 300 Series 65W,171.99,4.8,1332
B07B428V2L,AMD Ryzen 5 2600X Processor with Wraith Spire Cooler - YD260XBCAFBOX,0.0,4.8,3152
B086MG1C7C,"Intel Core i7-10700 Desktop Processor 8 Cores up to 4.8 GHz LGA 1200 (Intel 400 Series Chipset) 65W, BX8070110700",0.0,4.1,22
B089WC4VWF,"AMD Ryzen 5 3600XT 6-core, 12-threads unlocked desktop processor with Wraith Spire cooler",248.97,5.0,3
B07YLQZXKY,EVanlak DispalyPort Headless Ghost Display Emulator for PC 4K DP Dummy Plug (fit Headless 1080@60Hz-3840x2160@17hz)-3Pack,16.99,5.0,7
B00VF0RYK8,"Braun FP3020 12 Cup Food Processor Ultra Quiet Powerful motor, includes 7 Attachment Blades + Chopper and Citrus Juicer , Made in Europe with German Engineering",169.99,4.4,1244
B07R7Q3JZH,Intel Core i3-9100F Desktop Processor 4 Core Up to 4.2 GHz Without Processor Graphics LGA1151 300 Series 65W,74.49,4.6,562
B086226DDB,"Lenovo Flex 5 14"" 2-in-1 Laptop, 14.0"" FHD (1920 x 1080) Touch Display, AMD Ryzen 5 4500U Processor, 16GB DDR4, 256GB SSD, AMD Radeon Graphics, Digital Pen Included, Win 10, 81X20005US, Graphite Grey",599.99,4.2,135
B012M8M7TY,"Intel Core i5 6600K 3.50 GHz Quad Core Skylake Desktop Processor, Socket LGA 1151, 6MB Cache (BX80662I56600K)",198.0,4.7,840
B07598VZR8,Intel Core i7-8700K Desktop Processor 6 Cores up to 4.7GHz Turbo Unlocked LGA1151 300 Series 95W,349.96,4.7,3271
B07JGCMQY8,Intel Core i9-9980XE Extreme Edition Processor 18 Cores up to 4.4GHz Turbo Unlocked LGA2066 X299 Series 165W Processors (999AD1),1910.0,3.7,29
B086KKKT15,"Acer Swift 3 Thin & Light Laptop, 14"" Full HD IPS, AMD Ryzen 7 4700U Octa-Core Processor with Radeon Graphics, 8GB LPDDR4, 512GB NVMe SSD, WiFi 6, Backlit Keyboard, Fingerprint Reader, SF314-42-R9YN",679.99,4.5,101
B0759FTRZL,Intel Core i3-8100 Desktop Processor 4 Cores up to 3.6 GHz Turbo Unlocked LGA1151 300 Series 95W,114.95,4.5,1277
B00KPRWAX8,Intel Core i7-4790K Processor- BX80646I74790K,289.0,4.7,2410
B07RXW4Y2K,Intel Core i3-9100 Desktop Processor 4 Cores up to 4.2 GHz LGA1151 300 Series 65W,104.99,4.6,54
B08966H6XJ,"2020 Newest HP ENVY x360 2-in-1 Laptop, 15.6"" Full HD Touchscreen, AMD Ryzen 5 4500U Processor up to 4.0GHz, 8GB Memory, 256GB PCIe SSD, Backlit Keyboard, HDMI, Wi-Fi, Windows 10 Home, Nightfall Black",0.0,5.0,1
B07XL4JDQW,"Samsung Chromebook 4 + Chrome OS 15.6"" Full HD Intel Celeron Processor N4000​ 6GB RAM 64GB eMMC Gigabit wi-FI-XE350XBA-K03US",349.99,4.2,235
B0815JGCXP,"AMD Ryzen Threadripper 3960X 24-Core, 48-Thread Unlocked Desktop Processor, without Cooler",1349.99,4.8,42
B07YLQZXKY,EVanlak DispalyPort Headless Ghost Display Emulator for PC 4K DP Dummy Plug (fit Headless 1080@60Hz-3840x2160@17hz)-3Pack,16.99,5.0,7
B00VF0RYK8,"Braun FP3020 12 Cup Food Processor Ultra Quiet Powerful motor, includes 7 Attachment Blades + Chopper and Citrus Juicer , Made in Europe with German Engineering",169.99,4.4,1244
B07GLV1VC7,"Lenovo Chromebook S330 Laptop, 14-Inch FHD (1920 x 1080) Display, MediaTek MT8173C Processor, 4GB LPDDR3, 64GB eMMC, Chrome OS, 81JW0000US, Business Black",277.28,4.2,758
B07S4MSXJL,Intel Core i5-9500 Desktop Processor 6 Cores up to 4.GHz LGA1151 300 Series 65W,206.5,4.7,12
B07YP69HTM,Intel Core i9-10900X Desktop Processor 10 Cores up to 4.7GHz Unlocked LGA2066 X299 Series 165W (BX8069510900X),0.0,4.1,22
B07HS2RCKG,"ASUS Chromebook C523 Laptop- 15.6"" HD NanoEdge Display with 180 Degree Hinge, Intel Dual Core Celeron N3350 Processor, 4GB RAM, 32GB eMMC Storage, Chrome OS- C523NA-DH02 Silver Color",269.0,4.0,717
B01MSTDS3N,Intel BX80677I57400 7th Gen Core Desktop Processors,181.95,4.5,491
B07ZMQVQHG,"2019 Newest Lenovo Ideapad 330S 15.6” HD Narrow-bezels Widescreen Laptop, Intel Core i3-8130U Processor up to 3.40GHz, 8GB RAM, 256GB Solid State Drive, HDMI, Wireless-AC, Bluetooth, Windows 10, Blue",420.0,4.2,68
B07HJWVJDN,AMD YD200GC6FBBOX Athlon 200GE 2-Core 4-Thread AM4 Socket Desktop Processor with Radeon Vega Graphics,73.88,4.6,565
B083GHFSFV,Intel NUC 10 Performance Kit – Intel Core i5 Processor (Tall Chassis),433.19,5.0,1
B0862269YP,"Lenovo IdeaPad 3 14"" Laptop, 14.0"" FHD (1920 x 1080) Display, AMD Ryzen 5 3500U Processor, 8GB DDR4 RAM, 256GB SSD, AMD Radeon Vega 8 Graphics, Narrow Bezel, Windows 10, 81W0003QUS, Abyss Blue",447.15,3.9,70
B083GH1SSN,Intel NUC 10 Performance Kit – Intel Core i5 Processor (Sleek Chassis),433.09,5.0,2
B0136JONG8,Intel Boxed Core I7-6700 FC-LGA14C 3.40 GHz 8 M Processor Cache 4 LGA 1151 BX80662I76700,0.0,4.5,478
B083JXPDL5,"Lenovo Tab M10 Plus, 10.3"" FHD Android Tablet, Octa-Core Processor, 64GB Storage, 4GB RAM, Iron Grey, ZA5T0300US",199.54,4.4,131
B07YLQZXKY,EVanlak DispalyPort Headless Ghost Display Emulator for PC 4K DP Dummy Plug (fit Headless 1080@60Hz-3840x2160@17hz)-3Pack,16.99,5.0,7
B085NBFXFT,"EKWB EK-Quantum Magnitude CPU Water Block, AMD CPU (AM4), Full Nickel",265.95,1.0,1
B07GM2J11Q,"Lenovo Chromebook C330 2-in-1 Convertible Laptop, 11.6-Inch HD (1366 x 768) IPS Display, MediaTek MT8173C Processor, 4GB LPDDR3, 64 GB eMMC, Chrome OS, 81HY0000US, Blizzard White",299.99,4.4,2825
B01N0L41N7,Intel Core i7-7700 Desktop Processor 4 Cores up to 4.2 GHz  LGA 1151 100/200 Series 65W,388.0,4.5,535
B0815JJQQ8,"AMD Ryzen Threadripper 3970X 32-Core, 64-Thread Unlocked Desktop Processor, without Cooler",1899.99,4.5,47
B07JDV1MMR,Intel Core i9-9900X X-Series Processor 10 Cores up to 4.4GHz Turbo Unlocked LGA2066 X299 Series 165W Processors (999AC5),957.64,4.5,25
B086383HC7,"Lenovo Chromebook Flex 5 13"" Laptop, FHD (1920 x 1080) Touch Display, Intel Core i3-10110U Processor, 4GB DDR4 OnBoard RAM, 64GB SSD, Intel Integrated Graphics, Chrome OS, 82B80006UX, Graphite Grey",409.99,4.3,69
B07L52DDDQ,"2019 Newest HP 14"" Lightweight Chromebook-AMD A4-Series Processor, 4GB LPDDR4 RAM, 32GB SSD, WiFi, Chrome OS",250.95,4.3,108
B01M12RE4A,"NETGEAR Nighthawk X10 AD7200 802.11ac/ad Quad-Stream WiFi Router, 1.7GHz Quad-core Processor, Plex Media Server, Compatible with Amazon Alexa (R9000)",249.99,4.2,2591
B01MYTY55V,Intel BX80677G3930 7th Gen Celeron Desktop Processors,49.99,4.5,402
B07TKKYLPL,TECLAST P80X Android 9.0 Tablet 8 Inch 8-Core A55 Processor AI Smart Acceleration Wide Viewing Angle HD IPS PowerVR GE8322 Intelligent Color Optimization 2GB RAM 32GB ROM SSD Dual-Band WiFi+Cameras,85.99,3.3,73
B085RLQN5Z,"Beelink U55 Mini PC Windows 10 Pro, Intel Core i3-5005U Processor 8GB RAM 128GB SSD, 4K HD Dual HDMI USB 3.0 Port, Dual Band WiFi Gigabit Ethernet BT 4.2 Support Auto Power On (Beelink U55 8GB/128GB)",278.89,4.0,31
B089N9186N,"AK3 Mini PC,Intel Celeron J4125 Processor(Up to 2.7GHz) Windows 10 Pro(64-bit),Micro Desktop Computer with 2 HDMI/VGA Port,8GB DDR4/120GB mSATA SSD,2.4G/5.0G Dual Band Wi-Fi,Bluetooth 4.2,4K UHD",229.99,4.3,42
B07Z8QMSZJ,"Mini PC, Intel Celeron J3455 Processor(up to 2.3GHz) Windows 10(64-bit) Mini Desktop Computer with HDMI/VGA Port,4GB DDR3/64GB eMMC,Gigabit Ethernet,Dual Band Wi-Fi,Bluetooth 4.2,4K HD",169.99,4.3,154
B07YLQZXKY,EVanlak DispalyPort Headless Ghost Display Emulator for PC 4K DP Dummy Plug (fit Headless 1080@60Hz-3840x2160@17hz)-3Pack,16.99,5.0,7
B07CK9SHZG,Innovation Cooling Graphite Thermal Pad – Alternative to Thermal Paste/Grease (40 X 40mm),12.95,4.4,1683
B0754JNQBP,AMD YD190XA8AEWOF Ryzen Threadripper 1900X (8-core/16-thread) Desktop Processor,198.57,4.8,583
B086ML4XSD,Intel Core i9-10900 Desktop Processor 10 Cores up to 5.2 GHz LGA 1200 (Intel 400 Series Chipset) 65W,0.0,2.6,3
B08357VWB2,Intel NUC 10 Performance Kit – Intel Core i7 Processor (Tall Chassis),582.94,4.4,19
B088ZHFBMB,"2020 Newest Dell Inspiron 15 3000 PC Laptop: 15.6"" HD Anti-Glare LED-Backlit Nontouch Display, Intel 2-Core 4205U Processor, 8GB RAM, 256GB SSD + 1TB HDD, WiFi, Bluetooth, HDMI, Webcam,DVD-RW, Win 10",499.69,4.0,8
B07PND9T4F,Intel Core i7-4770 Quad-Core Desktop Processor 3.4 GHZ LGA 1150 8 MB Cache BX80646I74770 (Renewed),0.0,4.3,23
B086M4KSMW,"Intel Core i3-10320 Desktop Processor 4 Cores up to 4.6 GHz LGA1200 (Intel 400 Series chipset) 65W, Model Number: BX8070110320",162.0,0.0,0
B086MW76F8,"Intel Celeron G-5900 Desktop Processor 2 Cores 3.4 GHz LGA1200 (Intel 400 Series chipset) 58W, Model Number: BX80701G5900",47.07,0.0,0
B083GGZ6TG,Intel NUC 10 Performance Kit – Intel Core i7 Processor (Sleek Chassis),597.49,5.0,1
B00CO8TBQ0,"Intel Core i7-4770K Quad-Core Desktop Processor (3.5 GHz, 8 MB Cache, Intel HD graphics, BX80646I74770K)",327.98,4.7,1028
B0759FKH8K,Intel Core i5-8600K Desktop Processor 6 Cores up to 4.3 GHz Unlocked LGA 1151 300 Series 95W,235.99,4.8,898
B07RWFH2QW,"HP Stream 14-inch Laptop, AMD Dual-Core A4-9120E Processor, 4 GB SDRAM, 64 GB eMMC, Windows 10 Home in S Mode with Office 365 Personal for One Year (14-ds0060nr, Brilliant Black)",275.0,4.1,698
B07JFH771Y,Intel Core i9-9940X X-Series Processor 14 Cores up to 4.4GHz Turbo Unlocked LGA2066 X299 Series 165W Processors (999AC9),887.45,3.8,34
B07YLQZXKY,EVanlak DispalyPort Headless Ghost Display Emulator for PC 4K DP Dummy Plug (fit Headless 1080@60Hz-3840x2160@17hz)-3Pack,16.99,5.0,7
B085NBFXFT,"EKWB EK-Quantum Magnitude CPU Water Block, AMD CPU (AM4), Full Nickel",265.95,1.0,1
B07RWFH2QW,"HP Stream 14-inch Laptop, AMD Dual-Core A4-9120E Processor, 4 GB SDRAM, 64 GB eMMC, Windows 10 Home in S Mode with Office 365 Personal for One Year (14-ds0060nr, Brilliant Black)",275.0,4.1,699
B07JFH771Y,Intel Core i9-9940X X-Series Processor 14 Cores up to 4.4GHz Turbo Unlocked LGA2066 X299 Series 165W Processors (999AC9),887.45,3.8,34
B07JGCSMJX,Intel Core i7-9800X X-Series Processor 8 Cores up to 4.4GHz Turbo Unlocked LGA2066 X299 Series 165W Processors (999AC3),0.0,4.7,18
B084S7TPZN,"Latest_Dell Inspiron 15 5000 15.6"" FHD Display Laptop, 10th Generation Intel Core i5-1035G1 Processor, 8GB RAM, 256GB SSD, Fingerprint Reader, Wireless+Bluetooth, HDMI，Window 10",629.0,3.0,1
B07XH9876R,"Lenovo Chromebook C340 2-in-1 Laptop, 15.6"" FHD (1920 X 1080) Touchscreen Display, Intel Pentium Gold 4417U Processor, 4GB DDR4 RAM, 32GB SSD, Chrome OS, 81T90003US, Mineral Grey",350.0,4.5,100
B089CZ7Q8D,"HP Prodesk 600 G4 Computer with 4.1 GHz Intel Hexa-core i5 Processor, 512 GB SSD/8 GB RAM/HDMI Flex/DVDR (Small Form Factor PC) - Windows 10 Pro",729.99,1.0,1
B01LZLPO1H,"Dell Optiplex 7010 Business Desktop Computer (Intel Quad Core i5 up to 3.8GHz Processor), 8GB RAM, 500GB HDD, DVD, Windows 10 Professional (Renewed)",149.0,4.1,227
B07RL94CYL,Intel Core i9-7920X X-Series Processor 12 Cores up to 4.3 GHz Turbo Unlocked LGA2066 X299 Series 140W (Tray),958.51,0.0,0
B0887WHLSW,"2020 HP Laptop, 17.3"" HD+ Screen, 10th Gen Intel Core i5-1035G1 Quad-Core Processor up to 3.60GHz, 8GB DDR4 RAM, 256GB PCIe NVMe M.2 SSD, DVD-RW, HDMI, Wireless-AC, Bluetooth, Windows 10 Home, Black",570.0,5.0,1
B07XW266D9,"Samsung Chromebook 4 + Chrome OS 15.6"" Full HD Intel Celeron Processor N4000 4GB RAM 32Gb Emmc Gigabit Wi-Fi -XE350XBA-K01US - Silver",299.0,4.5,65
B073SJQW4B,"Lenovo ThinkCentre M73 Tiny Form Factor Business Desktop Computer, Intel Dual-Core G3220T Processor 2.60 GHz, 8GB RAM, 500GB HDD, WiFi, USB 3.0, VGA, Windows 10 Pro (Renewed)",158.0,4.3,47
B07VPGC74L,"2019 HP 17.3"" HD+ Flagship Home & Business Laptop, Intel Quad Core i5-8265U Processor Upto 3.9GHz, 8GB RAM, 256GB SSD, DVD-RW, WiFi, HDMI, GbE LAN, Bluetooth, Windows 10, Black",598.0,4.5,46
B07YLQZXKY,EVanlak DispalyPort Headless Ghost Display Emulator for PC 4K DP Dummy Plug (fit Headless 1080@60Hz-3840x2160@17hz)-3Pack,16.99,5.0,7
B0788F25WB,"Zeshan Pop up Outlet Desktop Connection Box with 2 Independent Power, USB, RJ45, VGA, HDMI, 3.5mm Audio for Office Silver",59.99,3.9,21
B07XW266D9,"Samsung Chromebook 4 + Chrome OS 15.6"" Full HD Intel Celeron Processor N4000 4GB RAM 32Gb Emmc Gigabit Wi-Fi -XE350XBA-K01US - Silver",299.0,4.5,65
B073SJQW4B,"Lenovo ThinkCentre M73 Tiny Form Factor Business Desktop Computer, Intel Dual-Core G3220T Processor 2.60 GHz, 8GB RAM, 500GB HDD, WiFi, USB 3.0, VGA, Windows 10 Pro (Renewed)",158.0,4.3,47
B07VPGC74L,"2019 HP 17.3"" HD+ Flagship Home & Business Laptop, Intel Quad Core i5-8265U Processor Upto 3.9GHz, 8GB RAM, 256GB SSD, DVD-RW, WiFi, HDMI, GbE LAN, Bluetooth, Windows 10, Black",598.0,4.5,46
B07M8QVNKG,"HP Chromebook 14-inch Laptop with 180-Degree Swivel, AMD Dual-Core A4-9120 Processor, 4 GB SDRAM, 32 GB eMMC Storage, Chrome OS (14-db0020nr, Chalkboard Gray)",251.0,4.3,1488
B088TPHFH1,"Fanless Mini PC Intel Atom x5-Z8350 Processor Windows 10 Quad Core CPU 4GB DDR/64GB eMMC Mini Desktop Computer HDMI and VGA Ports 2.4/5.8G Dual WiFi BT4.1 USB3.0, Auto Power On",139.99,5.0,7
B012UGC5D6,Plantronics 201851-01 DA70 USB Audio Processor,40.35,4.8,24
B00VF0RYK8,"Braun FP3020 12 Cup Food Processor Ultra Quiet Powerful motor, includes 7 Attachment Blades + Chopper and Citrus Juicer , Made in Europe with German Engineering",169.99,4.4,1244
B01FJLA8NI,"Intel Boxed Core i7-6800K Processor (15M Cache, up to 3.60 GHz) FCLGA2011-3 (BX80671I76800K)",360.0,4.4,222
B0793BQS3R,Intel Pentium Gold G5400 Desktop Processor 2 Core 3.7GHz LGA1151 300 Series 54W/58W BX80684G5400,0.0,4.5,250
B07NJJ9749,"Latest_Dell Inspiron 2-in-1 5000 14.0"" HD LED-Backlit Touchscreen High Performance Laptop, Intel Core i3-8145U Processor,8GB DDR4 RAM,256GB Solid State Drive, Wifi+Bluetooth, HDMI, USB 3.1, Windows 10",519.0,4.1,35
B078Z3TN7X,"Acer Chromebook R11 CB5-132T-C67Q Touch Screen Chromebook with Intel Celeron N3060 Processor, 11.6"" IPS Multitouch Screen 4GB Memory, 32GB SSD and Google Chrome OS",400.0,4.2,32
B088K23635,"2020 Dell Inspiron 3000 15.6-inch HD Touchscreen Laptop PC, Intel 10th Gen Dual Core i3-1005G1 Processor, 8GB DDR4, 128GB SSD, 1TB HDD, Bluetooth, Windows 10, Black",466.0,4.3,15
B088ZRQ55G,ASROCK H470 Steel Legend Supports 10th Gen Intel Core Processors (Socket 1200) Motherboard,139.99,0.0,0
B07YLQZXKY,EVanlak DispalyPort Headless Ghost Display Emulator for PC 4K DP Dummy Plug (fit Headless 1080@60Hz-3840x2160@17hz)-3Pack,16.99,5.0,7
